#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonymns Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
100342	854208	856142	34444	36208	YOR043W	YPR030W	WHI2	CSR2	-	ART8|MRG19	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BioGRID
100343	854208	856677	34444	36695	YOR043W	YEL034W	WHI2	HYP2	-	TIF51A	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BioGRID
100979	850650	854208	31241	34444	YLL010C	YOR043W	PSR1	WHI2	-	-	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BioGRID
112184	855529	854208	35641	34444	YNL192W	YOR043W	CHS1	WHI2	USA4	-	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
138718	854208	855053	34444	35209	YOR043W	YMR037C	WHI2	MSN2	-	-	Affinity Capture-Western	physical	Kaida D (2002)	12090248	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
138719	854208	850650	34444	31241	YOR043W	YLL010C	WHI2	PSR1	-	-	Affinity Capture-Western	physical	Kaida D (2002)	12090248	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
141697	852255	854208	32672	34444	YBL026W	YOR043W	LSM2	WHI2	SNP3|SMX5	-	Two-hybrid	physical	Fromont-Racine M (2000)	10900456	559292	559292	High Throughput	-	-	-	-	-	BioGRID
143093	854208	850650	34444	31241	YOR043W	YLL010C	WHI2	PSR1	-	-	Two-hybrid	physical	Kaida D (2002)	12090248	559292	559292	Low Throughput	-	-	-	-	-	BioGRID
158572	856375	854208	36412	34444	YHL011C	YOR043W	PRS3	WHI2	-	-	Synthetic Lethality	genetic	Binley KM (1999)	10514564	559292	559292	Low Throughput	-	-	inviable	-	-	BioGRID
167167	855836	854208	35923	34444	YPL240C	YOR043W	HSP82	WHI2	HSP90	-	Synthetic Lethality	genetic	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
167775	855529	854208	35641	34444	YNL192W	YOR043W	CHS1	WHI2	USA4	-	Synthetic Lethality	genetic	Lesage G (2005)	15715908	559292	559292	High Throughput	-	-	inviable	-	-	BioGRID
183671	854671	854208	34856	34444	YIL135C	YOR043W	VHS2	WHI2	-	-	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BioGRID
184362	850650	854208	31241	34444	YLL010C	YOR043W	PSR1	WHI2	-	-	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BioGRID
214353	854208	854073	34444	34321	YOR043W	YOL081W	WHI2	IRA2	-	CCS1|GLC4	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-9.695404	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
214511	855821	854208	35909	34444	YPL254W	YOR043W	HFI1	WHI2	GAN1|SRM12|SUP110|ADA1	-	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-9.252315	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
215830	854208	856895	34444	36901	YOR043W	YER151C	WHI2	UBP3	-	BLM3	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-6.840927	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
216058	854208	851461	34444	31965	YOR043W	YDL097C	WHI2	RPN6	-	NAS4	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-6.529288	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
216230	854208	853667	34444	33952	YOR043W	YKL213C	WHI2	DOA1	-	UFD3|ZZZ4	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-6.325587	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
216693	854208	854158	34444	34400	YOR043W	YOL004W	WHI2	SIN3	-	CPE1|SDI1|SDS16|UME4|RPD1|GAM2	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-5.792211	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
217159	854208	851391	34444	31901	YOR043W	YDL164C	WHI2	CDC9	-	MMS8	Negative Genetic	genetic	Collins SR (2007)	17314980	559292	559292	High Throughput	-5.360788	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BioGRID
